epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3281.99,0.96416,0.73754,1.31698,0.79811,0.73806,0.78888,0.44155,1.45655,1.02814,1.65078,0.007921,0.007921,0.007921
44,3350.95,0.95255,0.73451,1.31955,0.81335,0.72897,0.78444,0.45879,1.44406,1.00661,1.62283,0.0078715,0.0078715,0.0078715
45,3420.29,0.94249,0.72839,1.30269,0.81246,0.72804,0.79872,0.45579,1.45249,1.07868,1.64416,0.007822,0.007822,0.007822
46,3489.36,0.94168,0.72729,1.30646,0.8335,0.71629,0.79165,0.45788,1.48686,1.02605,1.68375,0.0077725,0.0077725,0.0077725
47,3558.33,0.93235,0.71051,1.29743,0.85268,0.71033,0.79512,0.4647,1.4666,0.99232,1.65756,0.007723,0.007723,0.007723
48,3627.68,0.92569,0.70616,1.29055,0.84952,0.71007,0.79558,0.45666,1.48917,0.98909,1.65383,0.0076735,0.0076735,0.0076735
49,3696.71,0.92296,0.70361,1.29072,0.83995,0.73751,0.78716,0.44555,1.50959,0.98923,1.69664,0.007624,0.007624,0.007624
50,3766.24,0.90859,0.68933,1.27634,0.83334,0.73157,0.80248,0.46691,1.47473,0.96526,1.66035,0.0075745,0.0075745,0.0075745
51,3835.51,0.90437,0.68852,1.27436,0.86352,0.72702,0.79523,0.47741,1.42378,0.98972,1.63331,0.007525,0.007525,0.007525
52,3904.99,0.90542,0.6729,1.27758,0.83967,0.74954,0.8141,0.4775,1.48728,1.00611,1.67432,0.0074755,0.0074755,0.0074755
53,3974.31,0.90373,0.68435,1.26751,0.83537,0.74329,0.7908,0.47239,1.48627,1.00171,1.67499,0.007426,0.007426,0.007426
54,4043.33,0.88504,0.66405,1.2606,0.81197,0.71441,0.77562,0.46635,1.44464,1.10508,1.65032,0.0073765,0.0073765,0.0073765
55,4112.69,0.88539,0.66192,1.25976,0.85402,0.72525,0.79615,0.47695,1.46468,0.97554,1.6548,0.007327,0.007327,0.007327
56,4181.74,0.87619,0.65945,1.25431,0.81971,0.73888,0.78058,0.46507,1.49755,1.02604,1.68767,0.0072775,0.0072775,0.0072775
57,4250.97,0.87021,0.65347,1.25098,0.82555,0.73458,0.79567,0.47076,1.46133,1.02521,1.64484,0.007228,0.007228,0.007228
58,4320,0.86679,0.64385,1.24316,0.80751,0.75625,0.78253,0.46685,1.46585,1.04019,1.67303,0.0071785,0.0071785,0.0071785
59,4389.28,0.86013,0.62406,1.23858,0.82396,0.74299,0.78971,0.46121,1.47619,1.01687,1.69319,0.007129,0.007129,0.007129
60,4458.11,0.85006,0.62846,1.22956,0.84624,0.74731,0.79858,0.46094,1.5258,1.05989,1.71918,0.0070795,0.0070795,0.0070795
61,4527.1,0.85541,0.63148,1.23549,0.79488,0.7502,0.77831,0.45902,1.57374,1.01671,1.76464,0.00703,0.00703,0.00703
62,4596.66,0.84819,0.62063,1.23308,0.83555,0.73189,0.78594,0.46064,1.50064,1.00307,1.68698,0.0069805,0.0069805,0.0069805
63,4665.69,0.84393,0.62069,1.2326,0.8513,0.7255,0.80065,0.46637,1.56901,1.0623,1.7327,0.006931,0.006931,0.006931
64,4735.08,0.8373,0.61087,1.22276,0.81674,0.74488,0.80039,0.46467,1.49811,0.99247,1.68789,0.0068815,0.0068815,0.0068815
65,4804.1,0.83536,0.61641,1.22343,0.77636,0.73728,0.77516,0.45815,1.56505,1.16107,1.75606,0.006832,0.006832,0.006832
66,4873.27,0.82991,0.60171,1.21801,0.87466,0.69271,0.7863,0.45986,1.48603,1.04088,1.71762,0.0067825,0.0067825,0.0067825
67,4942.26,0.81365,0.59654,1.20716,0.85035,0.74523,0.80092,0.46678,1.48592,1.02626,1.68784,0.006733,0.006733,0.006733
68,5011.29,0.83086,0.61219,1.21786,0.82797,0.75985,0.79891,0.47901,1.45024,0.97373,1.64961,0.0066835,0.0066835,0.0066835
69,5080.68,0.81877,0.58999,1.20752,0.82686,0.76459,0.8012,0.47122,1.46666,0.96419,1.66383,0.006634,0.006634,0.006634
70,5149.71,0.80959,0.58848,1.20151,0.81632,0.75187,0.81017,0.47257,1.46068,0.98403,1.67594,0.0065845,0.0065845,0.0065845
71,5219.14,0.8003,0.59055,1.20133,0.81533,0.7522,0.81601,0.48262,1.43053,0.96194,1.657,0.006535,0.006535,0.006535
72,5288.28,0.80417,0.58532,1.19993,0.85268,0.71736,0.80155,0.47161,1.45983,0.99086,1.67571,0.0064855,0.0064855,0.0064855
73,5357.4,0.79248,0.57451,1.1989,0.81644,0.75304,0.8084,0.46686,1.45816,1.1054,1.66139,0.006436,0.006436,0.006436
74,5426.82,0.7982,0.57526,1.19809,0.82038,0.74422,0.80966,0.48005,1.47981,1.08305,1.68282,0.0063865,0.0063865,0.0063865
75,5495.82,0.78733,0.57108,1.20101,0.79159,0.77809,0.80072,0.46532,1.4939,1.07361,1.70037,0.006337,0.006337,0.006337
76,5565.22,0.77906,0.55732,1.18779,0.83152,0.7265,0.79932,0.46256,1.48011,1.05376,1.68626,0.0062875,0.0062875,0.0062875
77,5634.41,0.78229,0.56301,1.18622,0.85973,0.71207,0.80456,0.46887,1.46603,1.03266,1.67271,0.006238,0.006238,0.006238
78,5703.38,0.78099,0.56501,1.18116,0.81112,0.75972,0.81016,0.47468,1.45082,1.03023,1.6657,0.0061885,0.0061885,0.0061885
79,5772.73,0.77,0.5533,1.18182,0.82742,0.74507,0.79613,0.47701,1.47598,1.05373,1.68398,0.006139,0.006139,0.006139
80,5841.61,0.77055,0.55691,1.18228,0.83925,0.72445,0.80044,0.47498,1.46192,1.01328,1.66492,0.0060895,0.0060895,0.0060895
81,5911.07,0.76461,0.549,1.17489,0.82429,0.73561,0.78942,0.47088,1.47738,1.03506,1.6972,0.00604,0.00604,0.00604
82,5980.17,0.76062,0.54656,1.17668,0.79294,0.74945,0.79591,0.479,1.4583,1.05266,1.68499,0.0059905,0.0059905,0.0059905
83,6049.5,0.75625,0.53917,1.16719,0.8253,0.73978,0.79624,0.48238,1.49462,1.08269,1.70618,0.005941,0.005941,0.005941
84,6118.51,0.75441,0.54186,1.16607,0.80894,0.7465,0.80033,0.48572,1.40858,1.01109,1.62882,0.0058915,0.0058915,0.0058915
85,6187.61,0.75435,0.53832,1.16401,0.80466,0.75241,0.80258,0.48888,1.37666,1.00546,1.61427,0.005842,0.005842,0.005842
86,6257.11,0.7534,0.53229,1.16654,0.83996,0.71078,0.79999,0.48961,1.38348,1.00085,1.61823,0.0057925,0.0057925,0.0057925
87,6326.1,0.74837,0.5306,1.15945,0.81541,0.73908,0.79991,0.48616,1.40958,1.0467,1.63499,0.005743,0.005743,0.005743
88,6395.32,0.74011,0.52161,1.15036,0.83669,0.73121,0.80518,0.49229,1.39541,1.03272,1.61938,0.0056935,0.0056935,0.0056935
89,6464.41,0.73408,0.5264,1.1484,0.81724,0.73811,0.80313,0.49015,1.41184,1.02608,1.64777,0.005644,0.005644,0.005644
90,6533.44,0.74146,0.52543,1.15886,0.84415,0.71247,0.80193,0.4879,1.44105,1.03569,1.66132,0.0055945,0.0055945,0.0055945
91,6602.32,0.73645,0.52434,1.15055,0.82674,0.72169,0.79904,0.48558,1.44083,1.03812,1.67151,0.005545,0.005545,0.005545
92,6671.19,0.72074,0.51517,1.14745,0.80537,0.73697,0.79205,0.48826,1.439,1.02674,1.6815,0.0054955,0.0054955,0.0054955
93,6740.59,0.71933,0.51077,1.14462,0.81994,0.72829,0.79499,0.48812,1.42246,1.04215,1.65787,0.005446,0.005446,0.005446
94,6809.5,0.71578,0.51222,1.14285,0.83576,0.72526,0.79629,0.48611,1.41676,1.02825,1.65885,0.0053965,0.0053965,0.0053965
95,6878.65,0.71987,0.50991,1.14269,0.7914,0.74394,0.78759,0.48402,1.42421,1.0393,1.66012,0.005347,0.005347,0.005347
96,6947.59,0.71692,0.50816,1.14527,0.80964,0.74546,0.79469,0.48776,1.40309,1.01552,1.63101,0.0052975,0.0052975,0.0052975
97,7016.45,0.71374,0.5034,1.14291,0.82181,0.72396,0.78621,0.48018,1.41836,1.02932,1.64844,0.005248,0.005248,0.005248
98,7085.77,0.70966,0.49911,1.13414,0.82264,0.73715,0.79169,0.48581,1.40539,1.04707,1.63898,0.0051985,0.0051985,0.0051985
99,7154.74,0.70023,0.49845,1.13029,0.81168,0.7444,0.79508,0.47917,1.43437,1.04381,1.67039,0.005149,0.005149,0.005149
100,7224.04,0.70002,0.49807,1.12966,0.81611,0.73148,0.79607,0.4847,1.41047,1.03317,1.64375,0.0050995,0.0050995,0.0050995
101,7293.03,0.69111,0.49136,1.12854,0.85148,0.71731,0.79976,0.48575,1.40978,1.04919,1.63793,0.00505,0.00505,0.00505
102,7362.31,0.69207,0.48695,1.12002,0.85927,0.70955,0.8007,0.48709,1.40556,1.02959,1.64147,0.0050005,0.0050005,0.0050005
103,7431.25,0.68564,0.4801,1.11839,0.85219,0.71841,0.79749,0.48507,1.40135,1.02431,1.64482,0.004951,0.004951,0.004951
104,7500.27,0.67967,0.47945,1.12061,0.8733,0.69329,0.79595,0.48885,1.40139,1.02381,1.64415,0.0049015,0.0049015,0.0049015
105,7569.7,0.68603,0.48191,1.12313,0.84166,0.71653,0.79512,0.48597,1.39404,1.03049,1.63593,0.004852,0.004852,0.004852
106,7638.61,0.67239,0.46895,1.11133,0.81566,0.72329,0.80013,0.4926,1.40833,1.03858,1.64903,0.0048025,0.0048025,0.0048025
107,7707.87,0.67728,0.47215,1.11636,0.87223,0.70363,0.80264,0.49449,1.40762,1.04852,1.64687,0.004753,0.004753,0.004753
108,7776.88,0.67136,0.46932,1.11798,0.86071,0.71275,0.80499,0.49152,1.41452,1.04696,1.66181,0.0047035,0.0047035,0.0047035
109,7846.04,0.67117,0.46964,1.11462,0.82935,0.72341,0.80567,0.49094,1.41746,1.04541,1.67058,0.004654,0.004654,0.004654
110,7914.96,0.66783,0.47229,1.10842,0.817,0.73873,0.8037,0.49198,1.43193,1.03677,1.67653,0.0046045,0.0046045,0.0046045
111,7983.92,0.65851,0.46261,1.10148,0.81623,0.74109,0.805,0.49263,1.43888,1.03391,1.68202,0.004555,0.004555,0.004555
112,8053.29,0.66131,0.46488,1.10424,0.85658,0.7047,0.80268,0.49146,1.43907,1.03607,1.68429,0.0045055,0.0045055,0.0045055
113,8122.42,0.65735,0.46278,1.10179,0.83839,0.71409,0.8044,0.48891,1.43952,1.03588,1.68465,0.004456,0.004456,0.004456
114,8191.72,0.65258,0.45288,1.09992,0.82923,0.70787,0.79824,0.48695,1.43836,1.03968,1.68775,0.0044065,0.0044065,0.0044065
115,8260.72,0.64936,0.45198,1.09382,0.83998,0.71422,0.80364,0.48626,1.40752,1.01814,1.6684,0.004357,0.004357,0.004357
116,8329.65,0.64632,0.45115,1.09663,0.85381,0.70918,0.80591,0.48807,1.40254,1.01484,1.67204,0.0043075,0.0043075,0.0043075
117,8399.13,0.63843,0.44719,1.08715,0.80617,0.7434,0.80826,0.48926,1.40315,1.00455,1.67842,0.004258,0.004258,0.004258
118,8468.2,0.64473,0.44904,1.08991,0.85355,0.70807,0.80567,0.49156,1.40159,0.99034,1.67686,0.0042085,0.0042085,0.0042085
119,8537.74,0.63719,0.43826,1.08469,0.85038,0.70142,0.80508,0.49076,1.40798,0.99234,1.67985,0.004159,0.004159,0.004159
120,8606.78,0.63114,0.44191,1.08776,0.84189,0.71377,0.80684,0.49171,1.41703,1.00085,1.68608,0.0041095,0.0041095,0.0041095
121,8676.08,0.6313,0.43794,1.08561,0.83697,0.73085,0.81087,0.48929,1.42924,1.01138,1.69574,0.00406,0.00406,0.00406
122,8745.13,0.63146,0.43907,1.08663,0.84267,0.71001,0.80331,0.48582,1.44005,1.01744,1.70387,0.0040105,0.0040105,0.0040105
123,8814.21,0.62968,0.43873,1.08743,0.83244,0.71662,0.80223,0.48467,1.44303,1.03106,1.70641,0.003961,0.003961,0.003961
124,8883.77,0.61654,0.43,1.08093,0.8195,0.71745,0.79916,0.48208,1.43659,1.0291,1.70378,0.0039115,0.0039115,0.0039115
125,8952.87,0.62046,0.42901,1.07792,0.8218,0.72022,0.79646,0.48301,1.4398,1.03295,1.70802,0.003862,0.003862,0.003862
