epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,13031.3,0.45306,0.31409,0.98272,0.80949,0.71233,0.77741,0.47633,1.47271,1.10286,1.77855,0.0009415,0.0009415,0.0009415
185,13100.5,0.45194,0.31043,0.98093,0.80726,0.71236,0.77718,0.47574,1.47334,1.10623,1.78069,0.000892,0.000892,0.000892
186,13169.5,0.44509,0.30514,0.98,0.80867,0.71283,0.77694,0.47476,1.47492,1.10753,1.78213,0.0008425,0.0008425,0.0008425
187,13238.7,0.44694,0.30857,0.98144,0.80785,0.71335,0.77662,0.47676,1.47492,1.10992,1.78226,0.000793,0.000793,0.000793
188,13307.4,0.43683,0.29977,0.97355,0.80991,0.71477,0.77729,0.47708,1.47569,1.11094,1.78373,0.0007435,0.0007435,0.0007435
189,13376.3,0.43527,0.29984,0.9703,0.81292,0.71494,0.77716,0.4761,1.47636,1.11158,1.78536,0.000694,0.000694,0.000694
190,13445.8,0.43317,0.29733,0.97095,0.81517,0.71467,0.77679,0.47535,1.47814,1.11515,1.78796,0.0006445,0.0006445,0.0006445
191,13518.1,0.41126,0.21881,0.95134,0.81962,0.71255,0.77698,0.4751,1.4786,1.11447,1.78876,0.000595,0.000595,0.000595
192,13587.4,0.38436,0.20531,0.92968,0.81965,0.71541,0.77754,0.47504,1.47862,1.11618,1.78921,0.0005455,0.0005455,0.0005455
193,13656.2,0.37376,0.19861,0.92477,0.8204,0.71252,0.77766,0.4751,1.47865,1.11679,1.78937,0.000496,0.000496,0.000496
194,13725.1,0.36653,0.1963,0.91978,0.82832,0.71531,0.78183,0.47603,1.47839,1.11702,1.78982,0.0004465,0.0004465,0.0004465
195,13794.3,0.36184,0.19715,0.91779,0.83165,0.71515,0.7826,0.47633,1.47939,1.12163,1.79067,0.000397,0.000397,0.000397
196,13863.2,0.35729,0.1945,0.91241,0.8326,0.71262,0.78245,0.47537,1.47776,1.12352,1.78999,0.0003475,0.0003475,0.0003475
197,13932.4,0.35386,0.191,0.91929,0.83779,0.71228,0.78259,0.47499,1.47804,1.12233,1.79201,0.000298,0.000298,0.000298
198,14001.5,0.35378,0.1935,0.91998,0.83847,0.71193,0.78211,0.47741,1.47846,1.12138,1.79233,0.0002485,0.0002485,0.0002485
199,14070.4,0.34665,0.18926,0.9106,0.83721,0.71198,0.78259,0.47745,1.47767,1.12623,1.79182,0.000199,0.000199,0.000199
200,14139.7,0.34045,0.1872,0.90689,0.83636,0.71185,0.78285,0.47748,1.4795,1.12985,1.79422,0.0001495,0.0001495,0.0001495
